Data,Cidade,Representante,Produto,Unidades,preco_unitario,Receita
2023-06-28,Pimenta,Representante 6,Produto A,51,75,3825
2023-01-14,Arcos,Representante 10,Produto C,26,30,780
2023-07-14,Formiga,Representante 12,Produto A,2,75,150
2023-11-02,Piumhi,Representante 15,Produto A,20,80,1600
2023-04-28,Formiga,Representante 9,Produto A,13,75,975
2023-10-26,Formiga,Representante 15,Produto C,76,95,7220
2023-08-17,Formiga,Representante 4,Produto C,47,35,1645
2023-09-01,Piumhi,Representante 9,Produto B,98,100,9800
2023-01-14,Piumhi,Representante 5,Produto A,87,65,5655
2023-06-02,Formiga,Representante 14,Produto A,61,10,610
2023-03-31,Pimenta,Representante 17,Produto A,60,70,4200
2023-04-01,Formiga,Representante 2,Produto B,86,40,3440
2023-09-13,Arcos,Representante 19,Produto B,6,20,120
2023-07-16,Pimenta,Representante 5,Produto B,80,10,800
2023-04-01,Formiga,Representante 11,Produto B,89,75,6675
2023-12-14,Formiga,Representante 1,Produto B,90,75,6750
2023-05-17,Arcos,Representante 7,Produto B,79,95,7505
2023-12-21,Pimenta,Representante 15,Produto B,41,85,3485
2023-11-24,Arcos,Representante 5,Produto A,51,10,510
2023-01-26,Arcos,Representante 11,Produto B,98,25,2450
2023-01-07,Formiga,Representante 16,Produto C,79,60,4740
2023-05-17,Arcos,Representante 10,Produto A,62,70,4340
2023-09-11,Formiga,Representante 2,Produto A,8,15,120
2023-07-30,Formiga,Representante 6,Produto B,5,45,225
2023-03-19,Arcos,Representante 12,Produto B,53,85,4505
2023-03-22,Arcos,Representante 19,Produto C,18,30,540
2023-02-12,Formiga,Representante 12,Produto A,94,65,6110
2023-12-25,Formiga,Representante 3,Produto B,81,35,2835
2023-11-28,Arcos,Representante 8,Produto B,32,30,960
2023-05-23,Formiga,Representante 13,Produto B,20,25,500
2023-02-01,Arcos,Representante 16,Produto B,78,85,6630
2023-04-19,Arcos,Representante 2,Produto B,20,85,1700
2023-09-20,Arcos,Representante 13,Produto C,66,15,990
2023-11-26,Formiga,Representante 13,Produto B,38,80,3040
2023-01-23,Arcos,Representante 6,Produto C,61,75,4575
2023-11-05,Arcos,Representante 19,Produto A,92,95,8740
2023-05-15,Formiga,Representante 11,Produto B,87,65,5655
2023-11-05,Arcos,Representante 12,Produto A,61,85,5185
2023-08-12,Pimenta,Representante 11,Produto A,29,65,1885
2023-06-15,Formiga,Representante 1,Produto C,71,95,6745
2023-08-05,Piumhi,Representante 8,Produto A,23,70,1610
2023-10-17,Arcos,Representante 1,Produto B,7,85,595
2023-03-10,Pimenta,Representante 8,Produto A,19,80,1520
2023-03-13,Formiga,Representante 12,Produto A,86,85,7310
2023-03-17,Formiga,Representante 8,Produto B,95,10,950
2023-03-04,Pimenta,Representante 16,Produto B,42,35,1470
2023-05-21,Piumhi,Representante 10,Produto C,48,75,3600
2023-07-29,Formiga,Representante 15,Produto A,30,65,1950
2023-12-19,Formiga,Representante 10,Produto A,22,60,1320
2023-12-13,Formiga,Representante 8,Produto B,92,40,3680
2023-06-02,Arcos,Representante 8,Produto A,61,15,915
2023-10-21,Formiga,Representante 2,Produto A,1,30,30
